職缺,公司,薪資,經歷年資,工作內容,條件要求,工具要求,產業別,經歷年資2
大數據系統架構師,昱冠資訊股份有限公司,26000.0,5年以上,"1.負責大數據平台系統架構設計與環境佈署管理。 
2.負責技術團隊內部溝通協調及相關技術文件產出。 
3.負責大數據平台系統新技術研究與需求性模組引進、整合與測試管理。
4.需熟悉 Hadoop 系統架構，NoSQL (eg. MongoDB or Cassendra)，具備系統架構實務經驗。
",1.具備Java、Python或其他相關程式語言軟體開發經驗。 
2.熟悉web應用開發，如HTML/CSS/JavaScript/AJAX/jQuery。 
3.具備網路服務管理經驗，如DNS、DHCP、NTP、SNMP、LDAP等。 
4.熟悉 Hadoop 系統架構，NoSQL (eg. MongoDB or Cassendra)，具備系統架構實務經驗。, AJAX Java Python DHTML HTML JavaScript jQuery DHCP DNS LDAP SNMP 系統架構規劃 軟體工程系統開發 軟體程式設計 資料庫系統管理維護 資料庫程式設計 資料庫軟體應用,電腦軟體服務業,5
大數據研發工程師,昱冠資訊股份有限公司,26000.0,經歷不拘,"本部門目前產品主要為半導體業及科技業產線數據分析/決策系統，
提供客戶各種解決方案，涉及統計分析、資料探勘、AI人工智慧與機器學習(Machine Learning)。 將依據專案需要，進行系統分析、資料庫設計與維護及程式開發設計。 
需能夠跟PM、其他工程師密切團隊合作，融入團隊。 內部環境自由，團隊氣氛友善。可多方參與其他相關大數據, AI等專案不斷增加能力。

[條件要求] 
1. 熟悉Javascript, Java, Python 其中一種語言
2. 熟悉 Cassandra, MongoDB, Kafka, Spark, Kubernetes其中一種技術和工具
3. 具備團隊合作能力，能夠主動與PM、設計師、其他工程師等討論並給予專業
建議，共同追求合適的解決方案
[Plus] 
1. 具有敏捷(Agile)開發的經驗佳 
2. 熟 Git 佳 
3. 熟悉 SQL or NOSQL Database者佳
4. 附帶作品者佳 
5. 相關工作經驗

",未填寫,,電腦軟體服務業,0
智能大數據研發總監,昱峰智能大數據科技股份有限公司,40000.0,經歷不拘,"1. 智能大數據的整體解決方案
2. 智能大數據系統設計 規劃 執行 管理

PS.歡迎誠信負責主動積極有挑戰精神為首選",具半導體經驗
了解半導體製程
有處理過良率改善經驗, Java Matlab Python R ANSI SQL MS SQL,電腦軟體服務業,0
大數據開發工程師,勝麗國際股份有限公司,40000.0,經歷不拘,"1. Big Data 系統開發(Java/Python)
2. 資料整理收集轉化
3. 決策系統報表開發
4. PLM/PDM客製程式開發",1. Python or Java開發經驗者尤佳
2. Big data/BI開發經驗者尤佳
3. 具製造業經驗2年以上者尤佳
4. 軟體工程熟練, Java Python,半導體製造業,0
智慧製造大數據工程師,新代科技股份有限公司,40000.0,經歷不拘,"1、物料計畫進行分析、優化與e化
2、物料、銷售與庫存關係分析、優化與e化
3、物料供應鍊流程優化
4、生管的接單排程優化與e化
5、雲端大數據分析
6、工業 4.0 工廠資訊收集
7、智慧製造雲端軟體平台
8、ISO計劃的推動與執行",會程式撰寫佳,,自動控制相關業,0
資深大數據工程師,動力安全資訊股份有限公司,40000.0,3年以上,"透過Big Data相關的技術，結合雲端服務，分析網路、作業系統、資訊安全事件、應用系統、電子商務，從資料中發掘價值，協助企業營運及發展。
這份工作的內容，包括整體系統的規劃及建置、資料分析、各種世界級解決方案的整合應用、程式的開發撰寫，雲端服務的整合應用；會接觸到的產業，主要包括金融業、高科技業及政府單位。因此，除了技術本身的發展以外，您可以透過這份工作，累積各種Domain Knowledge。
無論您是否具有相關經驗(大數據、程式撰寫、系統、網路、資安等等)，只要有志朝Big Data專業領域發展，我們誠摯地邀請您一起共創未來！",1.須接受過程式語言的基礎訓練，.NET、Java、Python擇一即可。
2.懂資料庫概念及SQL語法佳。
3.熟悉JavaScript及CSS佳。,,電腦系統整合服務業,3
大數據工程師(B0203),PChome Online_網路家庭國際資訊(股)公司,40000.0,3年以上,"－ 資料挖掘。 
－ 大數據程式開發, 分析。
●擅長工具
Java、Maven、Gradle、Python、SQL
",●其他條件
－ 具1年以上，相關工作經驗。 
－ 具大數據分析與統計經驗。 
－ 熟 data mining。 
－ 熟 hadoop 及 hadoop ecosystem 加分。
－ 熟 MapReduce 加分。
－ 熟 spark 佳。
－ 熟 Machine Learning 佳。
－ 熟 GCP 佳。
－ 熟 Lucene /Solr 佳。
－ 熟 ELK 佳。, Java Python,網際網路相關業,3
大數據工程師/主管,旭曜資訊服務有限公司,40000.0,經歷不拘,"對大數據領域相關工作有熱情，自律並有以下技能與相關工作經驗者，歡迎加入我們的行列

(1)熟悉 Python ，具深度學習經驗 (Keras/tensorflow 等) 尤佳。
(2)具備搜集網頁資料，進行資料處理分析技能，能做資料視覺化呈現者尤佳。
(3)具備大數據經驗者尤佳。
(4)具備程式協作與熟悉雲端伺服器經驗尤佳。",未填寫, Linux Python,網際網路相關業,0
大數據專案工程師,SAGE TECHNOLOGIES LIMITED,40000.0,1年以上,"為了配合我們公司專業服務團隊的拓展，我們正在尋求熱誠人員，他/她將會接觸大數據專業知識(AI, Machine Learning, ETL, Hadoop, Python等等)和研發巨量資料分析(程式設計)及處理。與我們國際策略夥伴緊密合作，會直接參與大型專案項目，也可在國際環境中獲得更多運用領先技術的經驗。
 
工作內容
•企業客户大數據分析、模型建立、專案執行與管理。
•企業客户大數據解決方案、程式開發和日常維護。
• 撰寫整合測試計畫書、測試案例、準備測試資料及測試。
•了解企業客户的需求，為客戶提供應用和技術諮詢。
• 為客戶提供應用和技術諮詢(含海外)。
","•具邏輯及資料分析之能力。
•主動積極，能獨立處理及解決問題。
•良好的溝通能力， 具團隊合作精神。 
•C、C#、Java、NoSQL、MySQL …。
•具數據庫和相關數據管理工具(DataStage, Informatica, Oracle…..等等)知識者優先
•具數據分析程式開發(Hadoop, Spark, Python, Mahout, Storm, Pig, Hive…..等等) 知識者優先
•具(Big Data Analyst／Data Mining／Machine Learning)知識者優先
•我們都需要有熱誠、有魄力的人才，專心致力提供卓越服務。歡迎應屆畢業生加入企元一起成長。", 專案規劃執行╱範圍管理 專案溝通╱整合管理 資料庫系統管理維護 資料庫程式設計 資料庫軟體應用,工商顧問服務業,1
BigData大數據研發工程師,昱冠資訊股份有限公司,26000.0,經歷不拘,"本部門目前產品主要為科技業產線數據分析/決策系統，
提供客戶各種解決方案，
涉及統計分析、資料探勘、AI人工智慧與機器學習(Machine Learning)。 
將依據專案需要，進行系統分析、資料庫設計與維護及程式開發設計。 
需能夠跟PM、其他工程師密切團隊合作，融入團隊。 
內部環境自由，團隊氣氛友善。
可多方參與其他相關大數據, AI等專案不斷增加能力。

[條件要求] 
1. 熟悉Javascript, Java, Python 其中一種語言
2. 具備團隊合作能力，能夠主動與PM、設計師、其他工程師等討論並給予專業建議，共同追求合適的解決方案

[Plus] 
1. 具有敏捷(Agile)開發的經驗佳 
2. 熟 Git 佳 
3. 熟悉 SQL or NOSQL Database者佳
4. 附帶作品者佳 
5. 相關工作經驗",未填寫,,電腦軟體服務業,0
大數據應用分析人員,台北富邦商業銀行股份有限公司,35000.0,3年以上,"工作範圍涵蓋大數據分析商業問題溝通、規劃、執行及商業價值轉換，端到端大數據分析服務
1.具良好邏輯分析能力及數據洞察能力，將商業問題轉化為數據分析可解決的問題，並評估數據分析可帶來的商業效益。
2.熟悉SQL/ Excel/ Python/ R/ SPSS等統計分析及資料處理能力，運用銀行內部及外部數據，據以發展符合客戶需要的產品或服務。
3.熟悉數據視覺化，透過BI或數據視覺化工具將數據轉換為具業務洞察的圖表。
4.透過機器學習模型建置及數據場景發想與運用，最大化數據應用價值。
5.實現多元數據應用(如：網路爬蟲 、文字探勘、語音分析、地理資訊系統 、智能語音分析等)。","英文聽說讀寫能力流利(檢附檢定證照者佳)[加分部份]1.熟悉資料處理相關語言，如：Python/R /Hive經驗，能運用機器學習演算法處理資料，建立預測模型者經驗者加分。2.熟悉BI及資料視覺化經驗者加分。3.熟悉搭建、操作大數據工具 (Hadhoop, Spark, Hive)經驗者加分。4.具爬蟲開發、API 數據擷取經驗者加分。", Python R MS SQL Excel SPSS 國際專案管理師PMP,銀行業,3
